id,price,descripcion
lavaloza_atom_500ml,$5.800,Lavaloza Antibacterial — Spray Atom 500 ml
lavaloza_bolsa_500ml,$5.800,Lavaloza Antibacterial — Bolsa 500 ml
lavaloza_bolsa_1l,$10.000,Lavaloza Antibacterial — Bolsa 1 L
lavaloza_repuesto_4l,$39.300,Lavaloza Antibacterial — Repuesto 4 L
lavaloza_repuesto_20l,$166.000,Lavaloza Antibacterial — Repuesto 20 L
lavaloza_caja_4l,$41.700,Lavaloza Antibacterial — Caja 4 L
lavaloza_caja_20l,$173.800,Lavaloza Antibacterial — Caja 20 L
lavaloza_garrafa_4l,$41.700,Lavaloza Antibacterial — Garrafa 4 L
lavaloza_garrafa_20l,$187.600,Lavaloza Antibacterial — Garrafa 20 L
lavpro_atom_500ml,$7.200,Lavaloza PRO MAX — Spray Atom 500 ml
lavpro_bolsa_500ml,$7.200,Lavaloza PRO MAX — Bolsa 500 ml
lavpro_bolsa_1l,$12.800,Lavaloza PRO MAX — Bolsa 1 L
lavpro_repuesto_4l,$50.900,Lavaloza PRO MAX — Repuesto 4 L
lavpro_repuesto_20l,$225.000,Lavaloza PRO MAX — Repuesto 20 L
lavpro_caja_4l,$53.300,Lavaloza PRO MAX — Caja 4 L
lavpro_caja_20l,$232.700,Lavaloza PRO MAX — Caja 20 L
lavpro_garrafa_4l,$53.300,Lavaloza PRO MAX — Garrafa 4 L
lavpro_garrafa_20l,$246.800,Lavaloza PRO MAX — Garrafa 20 L
desmanchador_atom_500ml,$8.100,Desmanchador Juntas y Baños — Spray 500 ml
desmanchador_bolsa_1l,$10.800,Desmanchador Juntas y Baños — Botella 1 L
desmanchador_repuesto_4l,$42.900,Desmanchador Juntas y Baños — Repuesto 4 L
desmanchador_repuesto_20l,$184.600,Desmanchador Juntas y Baños — Repuesto 20 L
desmanchador_caja_4l,$45.400,Desmanchador Juntas y Baños — Caja 4 L
desmanchador_caja_20l,$192.300,Desmanchador Juntas y Baños — Caja 20 L
desmanchador_garrafa_4l,$45.400,Desmanchador Juntas y Baños — Garrafa 4 L
desmanchador_garrafa_20l,$206.300,Desmanchador Juntas y Baños — Garrafa 20 L
jabon_dispensador_500ml,$8.500,Jabón de Manos — Dispensador Aconcagua 500 ml
jabon_amanecer_500ml,$8.500,Jabón de Manos — Amanecer 500 ml
jabon_amanecer_1l,$13.000,Jabón de Manos — Amanecer 1 L
jabon_coco_500ml,$8.500,Jabón de Manos — Coco y Avena 500 ml
jabon_coco_1l,$13.000,Jabón de Manos — Coco y Avena 1 L
jabon_aconcagua_500ml,$8.500,Jabón de Manos — Aconcagua 500 ml
jabon_aconcagua_1l,$13.000,Jabón de Manos — Aconcagua 1 L
suavizante_bolsa_500ml,$5.600,Suavizante de Ropa — Bolsa 500 ml
